seed,method,bin,bin_n,bin_n_positive,bin_mean_predicted,bin_fraction_positive,calibration_gap,brier_score,brier_uncalibrated_baseline,brier_improvement_vs_uncalibrated,log_loss,roc_auc,mean_predicted_probability,actual_prevalence,mean_pred_over_prevalence_ratio,score_min,score_median,score_p95,score_p99,score_max,f9_7_low_count,f9_7_low_pct,f9_7_medium_count,f9_7_medium_pct,f9_7_high_count,f9_7_high_pct,matched_threshold,matched_precision,matched_recall,matched_f1
44,sigmoid,9,118,74,0.49971009681320566,0.6271186440677966,0.12740854725459094,0.10649377371933597,0.1675857191431305,0.061091945423794536,0.35579105390724947,0.8013664994128323,0.161895499745743,0.16156462585034015,1.0020479352683882,0.002004259554152623,0.1160010406365185,0.477803511941191,0.6752131685996187,0.8194457718667307,992,84.35,163,13.86,21,1.79,0.2001957564650565,0.38596491228070173,0.6947368421052632,0.49624060150375937
45,sigmoid,0,118,5,0.016579709836865315,0.0423728813559322,0.025793171519066887,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,1,118,5,0.03439902431944779,0.0423728813559322,0.007973857036484414,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,2,117,8,0.05379321510815125,0.06837606837606838,0.014582853267917133,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,3,118,4,0.07391579715854137,0.03389830508474576,-0.0400174920737956,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,4,117,6,0.10134595184659423,0.05128205128205128,-0.05006390056454295,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,5,118,11,0.13479971474809083,0.09322033898305085,-0.04157937576503998,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,6,117,13,0.1761255826550547,0.1111111111111111,-0.0650144715439436,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,7,118,28,0.22813533642755118,0.23728813559322035,0.009152799165669162,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,8,117,34,0.30888335689994384,0.2905982905982906,-0.01828506630165322,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
45,sigmoid,9,118,76,0.49482294499197493,0.6440677966101694,0.1492448516181945,0.10489663929015858,0.1686530717475439,0.06375643245738533,0.34991612668922284,0.8103341518095442,0.1622876927759963,0.16156462585034015,1.0044754037082717,0.0036788830818896417,0.11728108151274794,0.45399917086059005,0.6758370734555837,0.8035029464424241,993,84.44,158,13.44,25,2.13,0.21120436462271125,0.41324921135646686,0.6894736842105263,0.5167652859960552
42,isotonic,0,124,4,0.012464785476835473,0.03225806451612903,0.01979327903929356,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,1,115,10,0.030832675660640185,0.08695652173913043,0.05612384607849025,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,2,115,8,0.045774541515826564,0.06956521739130435,0.023790675875477785,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,3,117,2,0.05652172579814933,0.017094017094017096,-0.03942770870413224,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,4,118,7,0.06966469663891534,0.059322033898305086,-0.01034266274061025,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,5,117,9,0.09604933141260025,0.07692307692307693,-0.01912625448952332,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,6,117,16,0.14152128322865404,0.13675213675213677,-0.004769146476517272,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,7,118,23,0.20816887474312343,0.19491525423728814,-0.013253620505835284,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,8,117,40,0.3132482237886317,0.3418803418803419,0.02863211809171018,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
42,isotonic,9,118,71,0.6197537513424811,0.6016949152542372,-0.01805883608824388,0.10515417342624804,0.17102073712871702,0.06586656370246897,0.37961183252596087,0.7974618340984305,0.1592938890056078,0.16156462585034015,0.985945334055762,0.0,0.0805174872313396,0.5836435074872302,0.8414618517816286,0.96,994,84.52,126,10.71,56,4.76,0.1748655710071639,0.38,0.7,0.4925925925925926
43,isotonic,0,118,5,0.009536256641841543,0.0423728813559322,0.032836624714090656,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,1,118,6,0.02867275709407652,0.05084745762711865,0.022174700533042126,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,2,117,7,0.04429521246792354,0.05982905982905983,0.015533847361136291,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,3,124,7,0.058211670115700956,0.056451612903225805,-0.001760057212475151,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,4,127,8,0.07449724700928237,0.06299212598425197,-0.011505121025030401,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,5,104,11,0.09537985369888229,0.10576923076923077,0.010389377070348482,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,6,115,12,0.13830060600185684,0.10434782608695652,-0.033952779914900325,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,7,118,25,0.20760362401185922,0.211864406779661,0.004260782767801785,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,8,117,35,0.3318340547164157,0.29914529914529914,-0.03268875557111656,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
43,isotonic,9,118,74,0.645624701089906,0.6271186440677966,-0.01850605702210939,0.10561669172652179,0.16785291343784964,0.06223622171132785,0.41262098762906024,0.7965623999145939,0.1630103760058141,0.16156462585034015,1.0089484325412494,0.0,0.07820164499553568,0.6196606705038807,0.8831664170783905,1.0,982,83.5,131,11.14,63,5.36,0.18306976234607814,0.3916913946587537,0.6947368421052632,0.5009487666034156
